N,residue_reinscription_rate,admissibility_window_width,topology_density,mean_tri_mechanism_agreement,mean_graph_ca_agreement
512,0.0,0.1,high,0.5081499953015556,0.5623907661808686
512,0.0,0.2,low,0.510759745479729,0.5640247241820298
512,0.0,0.2,medium,0.521301101095881,0.5777923793891129
512,0.0,0.2,high,0.5180014193761922,0.575080871071788
512,0.01,0.01,low,0.5075229871989725,0.56739446564116
512,0.01,0.01,medium,0.5214369582665263,0.5736645750267813
512,0.01,0.01,high,0.5204897254949751,0.5798959246717502
512,0.01,0.025,low,0.5215861336109203,0.5752521120561095
512,0.01,0.025,medium,0.5131408644886685,0.5672613837794251
512,0.01,0.025,high,0.5092285018396321,0.5679632410162466
512,0.01,0.05,low,0.5159101379095353,0.5701340962771986
512,0.01,0.05,medium,0.5143545162045435,0.570574967871572
512,0.01,0.05,high,0.5152529406918555,0.5736998934217872
512,0.01,0.1,low,0.5184385305574063,0.5746881730295752
512,0.01,0.1,medium,0.5258668972916821,0.5806357470351133
512,0.01,0.1,high,0.5247799396619022,0.5795674037806275
512,0.01,0.2,low,0.5145498391119075,0.5683389221435661
512,0.01,0.2,medium,0.5054870440615324,0.5656947929459171
512,0.01,0.2,high,0.5186072207617867,0.5730300989199093
512,0.05,0.01,low,0.5113841607570349,0.5696878394497042
512,0.05,0.01,medium,0.5187147040148131,0.5810540426964613
512,0.05,0.01,high,0.522284237160904,0.5761981899906083
512,0.05,0.025,low,0.5194856587869576,0.5763184433421656
512,0.05,0.025,medium,0.5233573943590851,0.5792176048551032
512,0.05,0.025,high,0.51932791277498,0.5785090884632648
512,0.05,0.05,low,0.5232863625162609,0.5796198564043684
512,0.05,0.05,medium,0.5267168986658974,0.5805926586940163
512,0.05,0.05,high,0.5161526530673862,0.5788516106535955
512,0.05,0.1,low,0.524590821208254,0.5831427192534249
512,0.05,0.1,medium,0.5191950655403423,0.5762448950295717
512,0.05,0.1,high,0.521384669513412,0.578342292966945
512,0.05,0.2,low,0.5290326928673575,0.5894992001575966
512,0.05,0.2,medium,0.5306164164139393,0.5796755749927403
512,0.05,0.2,high,0.5284204372751924,0.585170681607155
512,0.1,0.01,low,0.5373490160293873,0.5948944342716737
512,0.1,0.01,medium,0.5309410754331885,0.5928846796914954
512,0.1,0.01,high,0.5359431005666782,0.59034907518632
512,0.1,0.025,low,0.5309415982317424,0.5921851234958644
512,0.1,0.025,medium,0.5313803763813734,0.5875739297066896
512,0.1,0.025,high,0.5339882287131971,0.5937819916061914
512,0.1,0.05,low,0.5297835941217836,0.5919162163304158
512,0.1,0.05,medium,0.529609421104086,0.5929099719790327
512,0.1,0.05,high,0.5295528895621944,0.5890036063077422
512,0.1,0.1,low,0.5406290393888469,0.5965536889873732
512,0.1,0.1,medium,0.5318376840111015,0.5886011319200376
512,0.1,0.1,high,0.5299524813941343,0.5890301654293748
512,0.1,0.2,low,0.527353335968823,0.5949559497554732
512,0.1,0.2,medium,0.5287317549598531,0.5842309237104876
512,0.1,0.2,high,0.5355218346765422,0.5926517209975717
512,0.25,0.01,low,0.5671475801879453,0.6289526112401727
512,0.25,0.01,medium,0.556260469615074,0.6155906835464823
512,0.25,0.01,high,0.5552476923395502,0.615001952164727
512,0.25,0.025,low,0.5595797001134785,0.6205172068265218
512,0.25,0.025,medium,0.5535498054493359,0.6128136990256695
512,0.25,0.025,high,0.5575152933099213,0.6199240977863039
512,0.25,0.05,low,0.5640966720739089,0.6207177753879216
512,0.25,0.05,medium,0.5578142305950065,0.6209257129309467
512,0.25,0.05,high,0.560302998564067,0.6220432669964446
512,0.25,0.1,low,0.55385525782143,0.6224922763645281
512,0.25,0.1,medium,0.5580649176957375,0.6203258512802099
512,0.25,0.1,high,0.5622424071174875,0.6203369239184896
512,0.25,0.2,low,0.5612131315081381,0.6217705240298573
512,0.25,0.2,medium,0.5559796077074547,0.6125447837395485
512,0.25,0.2,high,0.5550160513353463,0.6127562140728104
512,0.5,0.01,low,0.6061198078400408,0.675444974635884
512,0.5,0.01,medium,0.6013310081511418,0.6699488609223323
512,0.5,0.01,high,0.5965558880897305,0.6663713664145882
512,0.5,0.025,low,0.6102865644445523,0.6743322076855817
512,0.5,0.025,medium,0.5894580837999751,0.6593826573254549
512,0.5,0.025,high,0.6017051964667857,0.6679221794015836
512,0.5,0.05,low,0.5970372555783794,0.6721633515426215
512,0.5,0.05,medium,0.6049654301910349,0.6717117923863063
512,0.5,0.05,high,0.6036991382925981,0.6678012129038033
512,0.5,0.1,low,0.6057355067122322,0.6708753468013148
512,0.5,0.1,medium,0.5942720784496681,0.6615049711130749
512,0.5,0.1,high,0.5893139356829357,0.6559502404193329
512,0.5,0.2,low,0.6087445117839252,0.6725622581837778
512,0.5,0.2,medium,0.6080956735157099,0.6758464201582935
512,0.5,0.2,high,0.6021457751245396,0.6704712758290613
1024,0.0,0.01,low,0.747133846347899,0.8227483713475188
1024,0.0,0.01,medium,0.7322562361572215,0.8147568567631357
1024,0.0,0.01,high,0.7379190235191413,0.8165423828516548
1024,0.0,0.025,low,0.7386910880592851,0.8159268790072344
1024,0.0,0.025,medium,0.7481124434917968,0.8308696450223955
1024,0.0,0.025,high,0.7373037320629879,0.8208696886757866
1024,0.0,0.05,low,0.7421229118372619,0.8259398805321795
1024,0.0,0.05,medium,0.7445570562165448,0.8205250625321872
1024,0.0,0.05,high,0.7421423583364087,0.8229362177070113
