theorem_id,N,R,continuation_capacity,topology_fragmentation_index,normalized_fragmentation,theorem_agreement_score,projection_variance,boundary_violation_rate
T001,768,0.1,76.80000000000001,0.8341441088789855,0.013033501701234148,0.3743919183407609,5.0769660121122825e-05,0.41707205443949275
T001,768,0.25,192.0,0.33286883201446454,0.0052010755002260085,0.7503483759891516,3.2563025081608616e-06,0.16643441600723227
T001,768,0.5,384.0,0.1662808517074126,0.002598138307928322,0.8752893612194407,1.4478395808710069e-06,0.0831404258537063
T001,768,0.75,576.0,0.11094700793013497,0.001733546998908359,0.9167897440523988,6.061068836898761e-07,0.055473503965067485
T001,1024,0.05,51.2,0.9956132837205852,0.015556457558134144,0.25329003720956106,1.3892184712007024e-05,0.4978066418602926
T001,1024,0.1,102.4,0.6241368357213364,0.009752138058145881,0.5318973732089978,2.1475448355257482e-05,0.3120684178606682
T001,1024,0.25,256.0,0.2496418303881338,0.003900653599814591,0.8127686272088995,2.1084427577317878e-06,0.1248209151940669
T001,1024,0.5,512.0,0.12535723417020753,0.0019587067839094926,0.9059820743723442,1.3369627612174452e-06,0.06267861708510376
T001,1024,0.75,768.0,0.0831648692591593,0.001299451082174364,0.9376263480556305,3.433634671696214e-07,0.04158243462957965
T001,1536,0.05,76.80000000000001,0.8336591378558716,0.013025924028997994,0.37475564660809646,5.1947631421289585e-05,0.4168295689279358
T001,1536,0.1,153.60000000000002,0.41683425350991304,0.006513035211092391,0.687374309867565,9.492776338380246e-06,0.20841712675495652
T001,1536,0.25,384.0,0.16717520577143083,0.0026121125901786067,0.8746185956714267,2.1246060249768676e-06,0.08358760288571541
T001,1536,0.5,768.0,0.0831761292100988,0.0012996270189077938,0.9376179030924259,3.9370429330929667e-07,0.0415880646050494
T001,1536,0.75,1152.0,0.0557170382233017,0.0008705787222390891,0.9582122213325238,1.1493016180642273e-07,0.02785851911165085
T001,2048,0.05,102.4,0.6256017253113872,0.009775026957990426,0.5307987060164596,3.180664075809712e-05,0.3128008626556936
T001,2048,0.1,204.8,0.3135855971357541,0.004899774955246158,0.7648108021481845,7.389945469444769e-06,0.15679279856787706
T001,2048,0.25,512.0,0.1253456519936123,0.0019585258124001923,0.9059907610047907,8.091025740033976e-07,0.06267282599680615
T001,2048,0.5,1024.0,0.06256079358774552,0.0009775123998085238,0.9530794048091908,2.070290589275268e-07,0.03128039679387276
T001,2048,0.75,1536.0,0.041644532482438865,0.0006506958200381073,0.9687666006381708,8.283770483497479e-08,0.020822266241219432
T002,128,0.05,6.4,0.9953184077579436,0.007775925060608934,0.25351119418154244,3.907233356466744e-05,0.4976592038789718
T002,128,0.1,12.8,0.99582235713381,0.00777986216510789,0.25313323214964245,1.9937967715112784e-05,0.497911178566905
T002,128,0.25,32.0,0.9965669434723441,0.007785679245877688,0.2525747923957419,1.4700799879666075e-05,0.49828347173617205
T002,128,0.5,64.0,0.9967701481467643,0.0077872667823965964,0.25242238888992674,9.331733249579565e-06,0.4983850740733822
T002,128,0.75,96.0,0.9984280032864046,0.007800218775675036,0.2511789975351965,4.917671079368546e-06,0.4992140016432023
T002,256,0.05,12.8,0.9966477871565665,0.007786310837160676,0.25251415963257506,1.546843924931557e-05,0.4983238935782833
T002,256,0.1,25.6,0.9948855421606584,0.007772543298130144,0.25383584337950615,2.4882223467439167e-05,0.4974427710803292
T002,256,0.25,64.0,0.9974780113625267,0.00779279696376974,0.251891491478105,6.502352195654379e-06,0.49873900568126334
T002,256,0.5,128.0,0.9947411017137614,0.007771414857138761,0.253944173714679,2.9482127563312005e-05,0.4973705508568807
T002,256,0.75,192.0,0.665815624212488,0.005201684564160062,0.5006382818406339,2.290756336049913e-05,0.332907812106244
T002,512,0.05,25.6,0.9950228968189858,0.007773616381398327,0.25373282738576064,3.17345931513188e-05,0.4975114484094929
T002,512,0.1,51.2,0.9974240289410382,0.007792375226101861,0.25193197829422137,1.0235033170742365e-05,0.4987120144705191
T002,512,0.25,128.0,0.9953536914822276,0.007776200714704903,0.25348473138832933,2.7574646215246818e-05,0.4976768457411138
T002,512,0.5,256.0,0.4999431971526735,0.0039058062277552616,0.6250426021354951,1.1954889427273368e-05,0.24997159857633675
T002,512,0.75,384.0,0.3337936244950997,0.0026077626913679664,0.7496547816286755,7.1322958772361025e-06,0.16689681224754985
T002,768,0.05,38.400000000000006,0.9954068643363652,0.007776616127627853,0.2534448517477261,1.5435308548948327e-05,0.4977034321681826
T002,768,0.1,76.80000000000001,0.9956503483071587,0.007778518346149677,0.2532622387696309,1.725338806267832e-05,0.49782517415357935
T002,768,0.25,192.0,0.6655774178223629,0.00519982357673721,0.5008169366332279,1.560305888090953e-05,0.33278870891118145
T002,768,0.5,384.0,0.3329910623644851,0.00260149267472254,0.7502567032266362,6.826827960558147e-06,0.16649553118224256
T002,768,0.75,576.0,0.2229272385818744,0.0017416190514208938,0.8328045710635942,2.4950229083172396e-06,0.1114636192909372
T002,1024,0.05,51.2,0.9952717995000241,0.007775560933593938,0.2535461503749819,2.204269502229609e-05,0.49763589975001205
T002,1024,0.1,102.4,0.9966211886196616,0.007786103036091107,0.25253410853525365,9.835267098982751e-06,0.4983105943098308
T002,1024,0.25,256.0,0.4993719830975519,0.003901343617949624,0.6254710126768361,1.2310041933751496e-05,0.24968599154877594
T002,1024,0.5,512.0,0.24956197446766512,0.0019497029255286338,0.812828519149251,3.936146779728359e-06,0.12478098723383256
T002,1024,0.75,768.0,0.16705099728903344,0.0013050859163205738,0.8747117520332248,1.8098513444201488e-06,0.08352549864451672
T002,1536,0.05,76.80000000000001,0.9975886036583291,0.007793660966080696,0.2518085472562531,1.7325039333535162e-05,0.49879430182916457
T002,1536,0.1,153.60000000000002,0.830633267679801,0.006489322403748445,0.3770250492401493,3.100086583088296e-05,0.4153166338399005
T002,1536,0.25,384.0,0.3329306604893699,0.0026010207850732025,0.7503020046329725,6.8915846510011695e-06,0.16646533024468496
T002,1536,0.5,768.0,0.16578232482435631,0.0012951744126902837,0.8756632563817328,1.6174402023316158e-06,0.08289116241217816
T002,1536,0.75,1152.0,0.11090856321417426,0.0008664731501107364,0.9168185775893692,6.323305262300308e-07,0.05545428160708713
T002,2048,0.05,102.4,0.9963413614792306,0.007783916886556489,0.25274397889057704,1.1262541949317529e-05,0.4981706807396153
T002,2048,0.1,204.8,0.6269595271608528,0.0048981213059441624,0.5297803546293604,1.998062179921554e-05,0.3134797635804264
T002,2048,0.25,512.0,0.24932804694115018,0.0019478753667277358,0.8130039647941375,3.1514700406280885e-06,0.12466402347057509
T002,2048,0.5,1024.0,0.12516686196500362,0.0009778661091015908,0.9061248535262472,7.372794981268419e-07,0.06258343098250181
T002,2048,0.75,1536.0,0.08313712201670945,0.0006495087657555426,0.9376471584874679,3.5879387323328e-07,0.041568561008354724
T003,128,0.05,6.4,0.9964500442029787,0.0038923829851678854,0.25266246684776594,1.5054357516222558e-05,0.49822502210148933
T003,128,0.1,12.8,0.9961297524581142,0.0038911318455395086,0.25290268565641427,9.482689518935299e-06,0.4980648762290571
T003,128,0.25,32.0,0.9958020954635279,0.003889851935404406,0.253148428402354,2.2749596300672385e-05,0.49790104773176397
T003,128,0.5,64.0,0.9946562558292218,0.0038853759993328976,0.2540078081280837,2.4827244155528712e-05,0.4973281279146109
T003,128,0.75,96.0,0.9973578444830544,0.0038959290800119313,0.25198161663770924,1.2413159069423833e-05,0.4986789222415272
T003,256,0.05,12.8,0.9977720288560075,0.003897546987718779,0.2516709783579943,7.989267496738128e-06,0.49888601442800373
T003,256,0.1,25.6,0.997190871173674,0.003895276840522164,0.2521068466197444,1.1643862333396916e-05,0.498595435586837
T003,256,0.25,64.0,0.995714649799558,0.0038895103507795236,0.25321401265033144,1.567035219853345e-05,0.497857324899779
T003,256,0.5,128.0,0.994647569174055,0.003885342067086152,0.2540143231194587,1.3919289477854947e-05,0.4973237845870275
T003,256,0.75,192.0,0.9962275851861662,0.0038915140046334616,0.2528293111103754,2.269838699831209e-05,0.4981137925930831
T003,512,0.05,25.6,0.9964475463415686,0.0038923732278967524,0.25266434024382345,2.3464829514086046e-05,0.4982237731707843
T003,512,0.1,51.2,0.9970528636821284,0.003894737748758314,0.2522103522384037,1.727573036003859e-05,0.4985264318410642
T003,512,0.25,128.0,0.9972764825686266,0.0038956112600336975,0.25204263807353006,1.4359780321556968e-05,0.4986382412843133
T003,512,0.5,256.0,0.9972647438331564,0.0038955654055982674,0.25205144212513264,6.8379919761517385e-06,0.4986323719165782
T003,512,0.75,384.0,0.6659763285017022,0.002601470033209774,0.5005177536237234,1.9033179813793967e-05,0.3329881642508511
T003,768,0.05,38.400000000000006,0.9965507802060368,0.0038927764851798313,0.25258691484547235,1.2250378944068061e-05,0.4982753901030184
T003,768,0.1,76.80000000000001,0.9973003799949229,0.0038957046093551677,0.25202471500380785,8.521707391883202e-06,0.49865018999746147
T003,768,0.25,192.0,0.9966561915004141,0.0038931882480484925,0.25250785637468937,1.6151532607080738e-05,0.49832809575020703
T003,768,0.5,384.0,0.6665761422206299,0.0026038130555493355,0.5000678933345274,3.133002191143938e-05,0.33328807111031494
T003,768,0.75,576.0,0.44342485227005457,0.0017321283291799007,0.6674313607974592,1.0106642352706175e-05,0.22171242613502729
T003,1024,0.05,51.2,0.9959788013986943,0.0038905421929636497,0.2530158989509792,2.340193896393059e-05,0.49798940069934716
T003,1024,0.1,102.4,0.9963909812515036,0.003892152270513686,0.2527067640613723,2.2060387474704935e-05,0.4981954906257518
T003,1024,0.25,256.0,0.9966819278153726,0.003893288780528799,0.2524885541384705,1.5692619739837273e-05,0.4983409639076863
T003,1024,0.5,512.0,0.500577481653822,0.001955380787710242,0.6245668887596337,7.552213081292065e-06,0.250288740826911
T003,1024,0.75,768.0,0.3337703718200578,0.0013037905149221008,0.7496722211349566,2.321091196438362e-06,0.1668851859100289
T003,1536,0.05,76.80000000000001,0.994900484887324,0.0038863300190911092,0.2538246363345072,2.1258937048135007e-05,0.497450242443662
T003,1536,0.1,153.60000000000002,0.9964554699560941,0.0038924041795159927,0.25265839753292946,1.9231748774161404e-05,0.49822773497804707
T003,1536,0.25,384.0,0.6670707047345422,0.0026057449403693055,0.49969697144909336,3.402316388076534e-05,0.3335353523672711
T003,1536,0.5,768.0,0.3337182059275792,0.0013035867419046064,0.7497113455543154,5.243811354549482e-06,0.1668591029637896
T003,1536,0.75,1152.0,0.22155111401742497,0.0008654340391305663,0.8338366644869313,2.824689037435804e-06,0.11077555700871249
T003,2048,0.05,102.4,0.9960713920141084,0.003890903875055111,0.2529464559894188,1.6675250508498292e-05,0.4980356960070542
T003,2048,0.1,204.8,0.995808842135832,0.0038898782895930937,0.25314336839812596,1.6354685239509455e-05,0.497904421067916
T003,2048,0.25,512.0,0.49862761980913795,0.001947764139879445,0.6260292851431466,1.2559326184162548e-05,0.24931380990456897
T003,2048,0.5,1024.0,0.2500823145826701,0.000976884041338555,0.8124382640629976,3.081334859635517e-06,0.12504115729133505
T003,2048,0.75,1536.0,0.16753911276273456,0.0006544496592294319,0.8743456654279491,2.120052034040439e-06,0.08376955638136728
T004,128,0.05,6.4,0.9964342847259502,0.003892321424710743,0.2526742864555374,1.45920734155788e-05,0.4982171423629751
T004,128,0.1,12.8,0.994053793461271,0.00388302263070809,0.25445965490404676,3.188344310627697e-05,0.4970268967306355
T004,128,0.25,32.0,0.996575380871609,0.0038928725815297227,0.25256846434629326,1.1972920774374488e-05,0.4982876904358045
T004,128,0.5,64.0,0.9971070688681183,0.003894949487766087,0.2521696983489113,1.891009058992277e-05,0.49855353443405914
T004,128,0.75,96.0,0.9960828394058832,0.003890948591429231,0.25293787044558763,1.9311606641703392e-05,0.4980414197029416
T004,256,0.05,12.8,0.9963257421929225,0.0038918974304411034,0.2527556933553081,1.2700239917709704e-05,0.49816287109646123
T004,256,0.1,25.6,0.9966616544684731,0.003893209587767473,0.2525037591486452,2.038880971982143e-05,0.49833082723423655
T004,256,0.25,64.0,0.9962876624115328,0.00389174868129505,0.2527842531913504,1.6293841017052964e-05,0.4981438312057664
T004,256,0.5,128.0,0.9972093821232133,0.003895349148918802,0.25209296340758997,9.88543886426419e-06,0.49860469106160665
T004,256,0.75,192.0,0.9961401892361733,0.003891172614203802,0.2528948580728701,1.5053998595659979e-05,0.49807009461808666
T004,512,0.05,25.6,0.9964318899897912,0.0038923120702726217,0.2526760825076566,2.0470878401260944e-05,0.4982159449948956
T004,512,0.1,51.2,0.9975755043300555,0.0038967793137892792,0.2518183717524584,6.8734752242408e-06,0.49878775216502774
T004,512,0.25,128.0,0.9952412457879372,0.0038876611163591295,0.2535690656590472,2.6339670273311524e-05,0.4976206228939686
T004,512,0.5,256.0,0.9967599167871626,0.003893593424949854,0.25243006240962806,1.3027736283881077e-05,0.4983799583935813
T004,512,0.75,384.0,0.66630094710139,0.0026027380746148046,0.5002742896739575,2.4967154029321114e-05,0.333150473550695
T004,768,0.05,38.400000000000006,0.9952530683502443,0.003887707298243142,0.2535601987373167,2.3330703853890863e-05,0.49762653417512215
T004,768,0.1,76.80000000000001,0.9969485141600333,0.00389433013343763,0.252288614379975,1.413729062753333e-05,0.49847425708001664
T004,768,0.25,192.0,0.9952294619699271,0.003887615085820028,0.2535779035225547,2.3643902873228442e-05,0.49761473098496356
T004,768,0.5,384.0,0.6670129287712883,0.0026055192530128448,0.49974030342153386,1.9266247975120796e-05,0.33350646438564413
T004,768,0.75,576.0,0.4454883791010794,0.0017401889808635915,0.6658837156741902,1.9038158044663697e-05,0.2227441895505397
T004,1024,0.05,51.2,0.9957819685570535,0.00388977331467599,0.2531635235822099,2.629694926971302e-05,0.49789098427852674
T004,1024,0.1,102.4,0.9964161839719632,0.003892250718640481,0.25268786202102766,1.320777125556582e-05,0.4982080919859816
T004,1024,0.25,256.0,0.9961845173468966,0.003891345770886315,0.25286161198982765,1.8852329348312072e-05,0.4980922586734483
T004,1024,0.5,512.0,0.4995218088984837,0.001951257066009702,0.6253586433261373,1.3882393299535338e-05,0.24976090444924184
T004,1024,0.75,768.0,0.33330979076787715,0.00130199137018702,0.7500176569240921,4.76528974592497e-06,0.16665489538393857
T004,1536,0.05,76.80000000000001,0.9961126234633776,0.0038910649354038187,0.2529155324024667,2.0202560359903546e-05,0.4980563117316888
T004,1536,0.1,153.60000000000002,0.995184775235524,0.0038874405282637654,0.25361141857335695,2.2690836670380836e-05,0.497592387617762
T004,1536,0.25,384.0,0.6664665364856128,0.002603384908146925,0.5001500976357903,2.9884400241030474e-05,0.3332332682428064
T004,1536,0.5,768.0,0.33319895070288574,0.0013015584011831474,0.7501007869728357,7.291716840050947e-06,0.16659947535144287
T004,1536,0.75,1152.0,0.22169661642764074,0.0008660024079204716,0.8337275376792695,3.670411454965132e-06,0.11084830821382037
T004,2048,0.05,102.4,0.9944877424359952,0.0038847177438906064,0.2541341931730035,2.746417928507032e-05,0.4972438712179976
T004,2048,0.1,204.8,0.9952078787286366,0.0038875307762837367,0.2535940909535227,3.1249898746000946e-05,0.4976039393643183
T004,2048,0.25,512.0,0.49916206057113205,0.0019498517991059846,0.6256284545716511,1.573005515968083e-05,0.24958103028556602
T004,2048,0.5,1024.0,0.2500577405267109,0.0009767880489324646,0.8124566946049667,3.236314475283816e-06,0.12502887026335546
T004,2048,0.75,1536.0,0.16645036410319022,0.0006501967347780868,0.8751622269226073,1.6589524268033863e-06,0.08322518205159511
MST-001,128,0.05,6.4,0.9960971030340222,0.0077820086174532985,0.25292717272448334,1.8184116813009156e-05,0.4980485515170111
MST-001,128,0.1,12.8,0.9942928890194181,0.007767913195464204,0.25428033323543636,4.1059977221477324e-05,0.4971464445097091
MST-001,128,0.25,32.0,0.9950558394161245,0.007773873745438473,0.2537081204379066,2.522565293092017e-05,0.49752791970806226
MST-001,128,0.5,64.0,0.9965855807589459,0.007785824849679265,0.2525608144307907,1.742741241778122e-05,0.49829279037947294
MST-001,128,0.75,96.0,0.9939912754801578,0.0077655568396887325,0.25450654338988166,2.0871860188212757e-05,0.4969956377400789
MST-001,256,0.05,12.8,0.9954170138644668,0.007776695420816147,0.2534372396016499,2.527177070972096e-05,0.4977085069322334
MST-001,256,0.1,25.6,0.9956721388448441,0.007778688584725344,0.253245895866367,2.1645120595263854e-05,0.49783606942242203
MST-001,256,0.25,64.0,0.9963179567658443,0.007783734037233159,0.2527615324256169,1.2163194091324286e-05,0.49815897838292217
MST-001,256,0.5,128.0,0.9972214450701451,0.0077907925396105086,0.25208391619739123,1.7999693752178234e-05,0.49861072253507255
MST-001,256,0.75,192.0,0.6673476696319637,0.005213653668999716,0.49948924777602716,2.0128076152816937e-05,0.33367383481598184
MST-001,512,0.05,25.6,0.9949694080936557,0.0077731985007316855,0.25377294392975824,2.358963190286097e-05,0.4974847040468279
MST-001,512,0.1,51.2,0.9962878365298359,0.007783498722889343,0.25278412260262306,2.0979395725068596e-05,0.49814391826491794
MST-001,512,0.25,128.0,0.9975411418481158,0.007793290170688405,0.2518441436139131,1.036952391380187e-05,0.4987705709240579
MST-001,512,0.5,256.0,0.5002373918528352,0.003908104623850275,0.6248219561103736,8.383281161881636e-06,0.2501186959264176
MST-001,512,0.75,384.0,0.33336326019308365,0.002604400470258466,0.7499775548551872,6.281031459180026e-06,0.16668163009654183
MST-001,768,0.05,38.400000000000006,0.9968995228905417,0.007788277522582357,0.2523253578320937,1.6289620647267198e-05,0.49844976144527087
MST-001,768,0.1,76.80000000000001,0.9979667154398378,0.007796614964373733,0.2515249634201217,1.0077690759173341e-05,0.4989833577199189
MST-001,768,0.25,192.0,0.6674323567988169,0.005214315287490757,0.4994257324008874,3.5277720734655464e-05,0.3337161783994084
MST-001,768,0.5,384.0,0.334026524609705,0.0026095822235133203,0.7494801065427212,4.928400808443814e-06,0.1670132623048525
MST-001,768,0.75,576.0,0.22231241349103922,0.001736815730398744,0.8332656898817206,2.476526751347262e-06,0.11115620674551961
MST-001,1024,0.05,51.2,0.997662318020401,0.007794236859534382,0.25175326148469923,1.4131825901255772e-05,0.4988311590102005
MST-001,1024,0.1,102.4,0.9970662801465989,0.007789580313645304,0.2522002898900507,7.5585481783869465e-06,0.49853314007329946
MST-001,1024,0.25,256.0,0.5005618795615487,0.0039106396840745995,0.6245785903288384,1.4658527066197611e-05,0.25028093978077437
MST-001,1024,0.5,512.0,0.24994326409311288,0.0019526817507274444,0.8125425519301653,2.9174559189690836e-06,0.12497163204655644
MST-001,1024,0.75,768.0,0.16705514942950866,0.0013051183549180364,0.8747086379278683,1.137326265772225e-06,0.08352757471475433
MST-001,1536,0.05,76.80000000000001,0.996715152823978,0.0077868371314373285,0.25246363538201644,1.5579857372398888e-05,0.498357576411989
MST-001,1536,0.1,153.60000000000002,0.834762868626596,0.006521584911145281,0.37392784853005306,4.8956236639711383e-05,0.417381434313298
MST-001,1536,0.25,384.0,0.3351572398473427,0.0026184159363073648,0.748632070114493,1.0630157920371465e-05,0.16757861992367135
MST-001,1536,0.5,768.0,0.1667013745958495,0.0013023544890300742,0.8749739690531128,2.0220652795431413e-06,0.08335068729792475
MST-001,1536,0.75,1152.0,0.11134409526847662,0.0008698757442849736,0.9164919285486425,8.719188895158868e-07,0.05567204763423831
MST-001,2048,0.05,102.4,0.995700981161898,0.007778913915327328,0.25322426412857657,1.6886365426508115e-05,0.497850490580949
MST-001,2048,0.1,204.8,0.6250699465339938,0.004883358957296827,0.5311975400995047,1.5214002795549894e-05,0.3125349732669969
MST-001,2048,0.25,512.0,0.2506937730333731,0.0019585451018232273,0.8119796702249701,2.579639956799835e-06,0.12534688651668655
MST-001,2048,0.5,1024.0,0.12488381913254086,0.0009756548369729755,0.9063371356505943,1.0179190923398858e-06,0.06244190956627043
MST-001,2048,0.75,1536.0,0.08336507836728448,0.00065128967474441,0.9374761912245368,4.220239490896987e-07,0.04168253918364224
