mode,m_test,test_phi,seed,r_pre,r_wait,r_pulse_b
preconditioned_pi,0.015,0.0,3,0.8347660129934943,0.86244956089777,0.8518408326190747
preconditioned_pi,0.015,3.14,1,0.7868330572687613,0.8274657528755917,0.839709057281717
preconditioned_pi,0.015,3.14,2,0.865857979722948,0.8358271224355014,0.8747498462521631
preconditioned_pi,0.015,3.14,3,0.9245152263142791,0.8875981824064696,0.881964219109335
preconditioned_pi,0.01,0.0,1,0.853564231080324,0.8558105004036577,0.854825968183216
preconditioned_pi,0.01,0.0,2,0.8454166318548302,0.8318429815567492,0.8499288346951214
preconditioned_pi,0.01,0.0,3,0.8076069595536199,0.8303973695340957,0.8104956575029347
preconditioned_pi,0.01,3.14,1,0.8913433808153042,0.8528965162827831,0.8637226793242607
preconditioned_pi,0.01,3.14,2,0.9057577423158328,0.8871475822956486,0.9009139630873265
preconditioned_pi,0.01,3.14,3,0.9069720081185415,0.8623051508597911,0.846062002721067
preconditioned_pi,0.025,0.0,1,0.891801635544455,0.8671700462621247,0.874889337232717
preconditioned_pi,0.025,0.0,2,0.8394387534970901,0.883473950477028,0.854744301985188
preconditioned_pi,0.025,0.0,3,0.7697488001003969,0.8221232369660431,0.8223386341719318
preconditioned_pi,0.025,3.14,1,0.8663484501823129,0.8373582319325599,0.8632223572513599
preconditioned_pi,0.025,3.14,2,0.8467026991380062,0.8682602491751825,0.8547832233774899
preconditioned_pi,0.025,3.14,3,,,
preconditioned_pi,0.02,0.0,1,0.9201315398423527,0.9008412561325194,0.8787351023502074
preconditioned_pi,0.02,0.0,2,0.8747166355252338,0.8855732358082419,0.8662881971786951
preconditioned_pi,0.02,0.0,3,0.8301246510808887,0.8424318677302121,0.8495480068784049
preconditioned_pi,0.02,3.14,1,0.8295343960288105,0.8173163538406327,0.848400996218187
preconditioned_pi,0.02,3.14,2,0.8428734218376193,0.8202088391360403,0.8159396342232896
preconditioned_pi,0.02,3.14,3,0.8926803628772827,0.8874420274612845,0.8918983001597904
preconditioned_pi,0.03,0.0,1,0.8811060396872766,0.8846734296029877,0.8655821201728827
preconditioned_pi,0.03,0.0,2,0.8837378863803975,0.884701753776665,0.8705252085475631
preconditioned_pi,0.03,0.0,3,0.9322379718370992,0.9050304447553649,0.9096535685965631
preconditioned_pi,0.03,3.14,1,0.8753723876619453,0.855532719176919,0.8322480841415901
preconditioned_pi,0.03,3.14,2,0.9115056495512753,0.8912451165308424,0.9090461591814352
preconditioned_pi,0.03,3.14,3,0.8783541907060614,0.8702069434900794,0.8519775217095696
preconditioned_pi,0.04,0.0,1,0.0,0.0,0.0
preconditioned_pi,0.04,0.0,2,0.0,0.0,0.0
preconditioned_pi,0.04,0.0,3,0.0,0.0,0.0
preconditioned_pi,0.04,3.14,1,0.0,0.0,0.0
preconditioned_pi,0.04,3.14,2,0.0,0.0,0.0
preconditioned_pi,0.04,3.14,3,0.0,0.0,0.0
preconditioned_pi,0.06,0.0,1,0.0,0.0,0.0
preconditioned_pi,0.06,0.0,2,0.0,0.0,0.0
preconditioned_pi,0.06,0.0,3,0.0,0.0,0.0
preconditioned_pi,0.06,3.14,1,0.0,0.0,0.0
preconditioned_pi,0.06,3.14,2,0.0,0.0,0.0
preconditioned_pi,0.06,3.14,3,0.0,0.0,0.0
preconditioned_pi,0.08,0.0,1,0.0,0.0,0.0
preconditioned_pi,0.08,0.0,2,0.0,0.0,0.0
preconditioned_pi,0.08,0.0,3,0.0,0.0,0.0
preconditioned_pi,0.08,3.14,1,0.0,0.0,0.0
preconditioned_pi,0.08,3.14,2,0.0,0.0,0.0
preconditioned_pi,0.08,3.14,3,0.0,0.0,0.0
preconditioned_pi,0.1,0.0,1,0.0,0.0,0.0
preconditioned_pi,0.1,0.0,2,0.0,0.0,0.0
preconditioned_pi,0.1,0.0,3,0.0,0.0,0.0
preconditioned_pi,0.1,3.14,1,0.0,0.0,0.0
preconditioned_pi,0.1,3.14,2,0.0,0.0,0.0
preconditioned_pi,0.1,3.14,3,0.0,0.0,0.0
