mode,m_test,test_phi,seed,m_pulse_b
preconditioned_0,0.1,3.14,3,0.0
preconditioned_pi,0.005,0.0,1,0.1828391156073807
preconditioned_pi,0.005,0.0,2,0.12939435923257403
preconditioned_pi,0.005,0.0,3,0.1320435553993608
preconditioned_pi,0.005,3.14,1,0.16151374121032497
preconditioned_pi,0.005,3.14,2,0.15680356631236023
preconditioned_pi,0.005,3.14,3,0.14406350909120383
preconditioned_pi,0.015,0.0,1,0.21001962026308088
preconditioned_pi,0.015,0.0,2,0.3123462830182946
preconditioned_pi,0.015,0.0,3,0.22441486723091564
preconditioned_pi,0.015,3.14,1,0.2564096228717648
preconditioned_pi,0.015,3.14,2,0.25849669510252704
preconditioned_pi,0.015,3.14,3,0.27755835294493736
preconditioned_pi,0.01,0.0,1,0.21152756873020095
preconditioned_pi,0.01,0.0,2,0.24441073124768464
preconditioned_pi,0.01,0.0,3,0.22424221863515686
preconditioned_pi,0.01,3.14,1,0.21985175182803082
preconditioned_pi,0.01,3.14,2,0.21291747894097512
preconditioned_pi,0.01,3.14,3,0.21744923228041568
preconditioned_pi,0.025,0.0,1,0.4121638559130804
preconditioned_pi,0.025,0.0,2,0.44159780241737406
preconditioned_pi,0.025,0.0,3,0.3663383983026292
preconditioned_pi,0.025,3.14,1,0.3536798010036396
preconditioned_pi,0.025,3.14,2,0.3886300419680541
preconditioned_pi,0.025,3.14,3,0.3377726097155363
preconditioned_pi,0.02,0.0,1,0.3225484837369266
preconditioned_pi,0.02,0.0,2,0.33947520147328036
preconditioned_pi,0.02,0.0,3,0.38502423089027893
preconditioned_pi,0.02,3.14,1,0.3295369342958768
preconditioned_pi,0.02,3.14,2,0.3817280781900058
preconditioned_pi,0.02,3.14,3,0.29949666134914776
preconditioned_pi,0.03,0.0,1,0.43526584635926957
preconditioned_pi,0.03,0.0,2,0.357700461239609
preconditioned_pi,0.03,0.0,3,0.44678887113328786
preconditioned_pi,0.03,3.14,1,0.43079632422870473
preconditioned_pi,0.03,3.14,2,0.42688213506973083
preconditioned_pi,0.03,3.14,3,0.38646654568369954
preconditioned_pi,0.04,0.0,1,0.0
preconditioned_pi,0.04,0.0,2,0.0
preconditioned_pi,0.04,0.0,3,0.0
preconditioned_pi,0.04,3.14,1,0.0
preconditioned_pi,0.04,3.14,2,0.0
preconditioned_pi,0.04,3.14,3,0.0
preconditioned_pi,0.06,0.0,1,0.0
preconditioned_pi,0.06,0.0,2,0.0
preconditioned_pi,0.06,0.0,3,0.0
preconditioned_pi,0.06,3.14,1,0.0
preconditioned_pi,0.06,3.14,2,0.0
preconditioned_pi,0.06,3.14,3,0.0
preconditioned_pi,0.08,0.0,1,0.0
preconditioned_pi,0.08,0.0,2,0.0
preconditioned_pi,0.08,0.0,3,0.0
preconditioned_pi,0.08,3.14,1,0.0
preconditioned_pi,0.08,3.14,2,0.0
preconditioned_pi,0.08,3.14,3,0.0
preconditioned_pi,0.1,0.0,1,0.0
preconditioned_pi,0.1,0.0,2,0.0
preconditioned_pi,0.1,0.0,3,0.0
preconditioned_pi,0.1,3.14,1,0.0
preconditioned_pi,0.1,3.14,2,0.0
preconditioned_pi,0.1,3.14,3,0.0
